			
Legal Term	Meaning (English)	Meaning (Hindi)	Usage in Sentence
Abet 	To encourage or assist someone to commit a crime 	उकसाना 	He was charged with abetting the criminal by providing him shelter.
Accused 	A person charged with a criminal offense 	अभियुक्त 	The accused pleaded not guilty during the court hearing.
Acquittal 	A judgment that a person is not guilty of the crime 	दोषमुक्ति 	After a lengthy trial, the court ruled for the acquittal of the defendant.
Bail 	Temporary release of an accused person awaiting trial 	जमानत 	The accused was granted bail by the court pending the trial.
Beneficiary 	A person entitled to benefits or proceeds from a will or trust 	लाभार्थी 	The court recognized her as the sole beneficiary of her father’s estate.
Bench 	The seat occupied by judges in a court 	पीठ 	A five-judge bench was constituted to hear the constitutional case.
Caveat 	A formal notice requesting a court to suspend proceedings until the party filing the caveat is heard 	कावेयत 	The company filed a caveat to ensure no orders are passed without its knowledge.
Cognizance 	A court’s acknowledgement of a legal matter to be heard 	संज्ञान 	The judge took cognizance of the matter and summoned the accused for trial.
Contempt of Court 	Willful disobedience or disrespect towards court rules or authority 	न्यायालय की अवमानना 	The activist was held in contempt of court for disrupting the proceedings.
Damages 	Compensation, usually monetary, awarded to someone for loss or injury 	हर्जाना 	The court ordered the company to pay damages for breaching the contract.
Decree 	A formal order or judgment by the court 	डिक्री 	The court passed a decree in favor of the plaintiff, granting them ownership of the disputed property.
Defamation 	The act of damaging someone’s reputation by making false statements 	मानहानि 	The celebrity filed a defamation suit against the media company for publishing false accusations.
Evidence 	Any information presented in a legal case to prove or disprove facts 	साक्ष्य 	The prosecutor presented new evidence to support the charges against the defendant.
Equity 	The application of principles of fairness and justice in legal matters 	न्यायसंगतता 	The court made its decision based on equity, ensuring fairness to both parties.
Embezzlement 	Fraudulent appropriation of funds by someone entrusted with them 	गबन 	The accountant was charged with embezzlement after diverting company funds into personal accounts.
FIR (First Information Report) 	A formal written document prepared by the police when they receive information about a cognizable offense 	प्राथमिकी 	The victim immediately filed an FIR with the local police station after the robbery.
Fraud 	Wrongful or criminal deception intended to result in financial or personal gain 	धोखाधड़ी 	The businessman was arrested for committing fraud by forging financial documents.
Frivolous Litigation 	Legal action with no sound basis, often used to harass or delay the process 	तुच्छ मुकदमे 	The court dismissed the lawsuit, labeling it as frivolous litigation intended to waste time.
Garnishee 	A person or institution that is ordered by the court to surrender money or property belonging to a debtor 	गार्निशी 	The bank was named as a garnishee to withhold the debtor’s funds for the court.
Guardian 	A person legally appointed to manage the affairs of a minor or someone incapable of managing their own affairs 	अभिभावक 	After the parents passed away, the uncle was appointed as the legal guardian of the minor children.
Grievance 	A formal complaint raised by an individual, typically in a legal or workplace context 	शिकायत 	The employee filed a grievance against the company for unfair dismissal.
Habeas Corpus 	A legal action or writ requiring a person under arrest to be brought before a judge to secure their release unless lawful grounds are shown for their detention 	बंदी प्रत्यक्षीकरण 	The lawyer filed a writ of habeas corpus to challenge the illegal detention of the accused.
Hearsay 	Information received from others that cannot be substantiated and is not admissible as evidence 	सुनी-सुनाई बात 	The court dismissed the witness’s statement as hearsay since it lacked direct evidence.
Heir 	A person legally entitled to the property or rank of another upon their death 	उत्तराधिकारी 	After his father’s death, he became the rightful heir to the family estate.
Injunction 	A court order requiring a party to do or refrain from doing a specific act 	निषेधाज्ञा 	The court granted an injunction preventing the company from selling the disputed property.
Immunity 	Legal protection from prosecution or penalties 	प्रतिरक्षा 	The witness was granted immunity in exchange for testifying against the accused.
Indictment 	A formal accusation initiating a criminal case 	अभियोग पत्र 	The grand jury issued an indictment against the businessman for fraud and embezzlement.
Judgment 	The final decision or ruling by a court in a legal matter 	निर्णय 	The court delivered its judgment, ruling in favor of the plaintiff.
Jurisdiction 	The legal authority of a court to hear and decide a case 	अधिकार क्षेत्र 	The High Court has jurisdiction over cases involving constitutional issues.
Jurisprudence 	The theory or philosophy of law 	न्यायशास्त्र 	The lawyer’s argument was grounded in legal jurisprudence and historical case laws.
Kidnapping 	The unlawful taking away or transportation of a person, usually to hold them against their will 	अपहरण 	The accused was charged with kidnapping the child for ransom.
